xhat1 xhat2 xhat3 xhat4 yhat1 yhat2 time
-0.837483 0.27221 -0.651605 -2.89465 -53.7906 -57.8737 2.36
-0.858348 0.458154 -0.567891 -2.91081 -53.7871 -60.6594 2.37
-0.878843 0.651749 -0.495855 -2.92224 -53.7014 -63.4776 2.38
-0.899005 0.851738 -0.433792 -2.92992 -53.5456 -66.3217 2.39
-0.918868 1.05707 -0.380257 -2.93467 -53.3298 -69.1859 2.4
-0.938463 1.26687 -0.334022 -2.93715 -53.0627 -72.0657 2.41
-0.957817 1.4804 -0.294041 -2.93787 -52.7515 -74.9574 2.42
-0.976955 1.69704 -0.259429 -2.93727 -52.4025 -77.8581 2.43
-0.995899 1.9163 -0.229426 -2.9357 -52.0211 -80.7655 2.44
-1.01467 2.13773 -0.203388 -2.93342 -51.6117 -83.6776 2.45
-1.03328 2.36098 -0.180762 -2.93064 -51.1782 -86.5929 2.46
-1.05176 2.58575 -0.161077 -2.92755 -50.7241 -89.5103 2.47
-1.07011 2.81179 -0.143933 -2.92427 -50.252 -92.4288 2.48
-1.08834 3.0389 -0.128986 -2.9209 -49.7644 -95.3478 2.49
-1.10648 3.26689 -0.115934 -2.91754 -49.2634 -98.2667 2.5
-1.12452 3.49562 -0.104525 -2.91422 -48.7508 -101.185 2.51
-1.14248 3.72497 -0.0945454 -2.911 -48.2282 -104.103 2.52
-1.16037 3.95484 -0.085802 -2.90791 -47.6968 -107.02 2.53
-1.1782 4.18515 -0.0781356 -2.90496 -47.1578 -109.935 2.54
-1.19596 4.41582 -0.071408 -2.90218 -46.6122 -112.849 2.55
-1.21368 4.64678 -0.0654953 -2.89957 -46.0608 -115.763 2.56
-1.23134 4.87801 -0.0602973 -2.89712 -45.5044 -118.674 2.57
-1.24896 5.10944 -0.0557199 -2.89485 -44.9435 -121.585 2.58
-1.26655 5.34105 -0.0516883 -2.89274 -44.3788 -124.495 2.59
-1.2841 5.5728 -0.0481325 -2.8908 -43.8108 -127.403 2.6
-1.30162 5.80468 -0.0449918 -2.889 -43.2398 -130.31 2.61
-1.31912 6.03666 -0.0422198 -2.88735 -42.6662 -133.216 2.62
-1.33659 6.26873 -0.0397692 -2.88584 -42.0903 -136.121 2.63
-1.35403 6.50087 -0.0376007 -2.88445 -41.5124 -139.025 2.64
-1.37146 6.73307 -0.0356813 -2.88319 -40.9327 -141.929 2.65
-1.38887 6.96532 -0.0339824 -2.88204 -40.3515 -144.831 2.66
-1.40627 7.19761 -0.0324751 -2.88099 -39.7689 -147.733 2.67
-1.42365 7.42994 -0.0311395 -2.88004 -39.1852 -150.634 2.68
-1.44101 7.6623 -0.0299524 -2.87917 -38.6003 -153.535 2.69
-1.45837 7.89468 -0.0288986 -2.87838 -38.0145 -156.435 2.7
-1.47571 8.12708 -0.0279638 -2.87767 -37.4279 -159.334 2.71
-1.49305 8.3595 -0.027131 -2.87703 -36.8405 -162.233 2.72
-1.51038 8.59193 -0.026392 -2.87644 -36.2525 -165.131 2.73
-1.5277 8.82438 -0.0257346 -2.87591 -35.6639 -168.03 2.74
-1.54502 9.05683 -0.0251484 -2.87544 -35.0748 -170.927 2.75
-1.56232 9.28929 -0.0246277 -2.87501 -34.4852 -173.825 2.76
-1.57963 9.52176 -0.0241622 -2.87462 -33.8952 -176.722 2.77
-1.59693 9.75424 -0.0237483 -2.87427 -33.3049 -179.618 2.78
-1.61422 9.98672 -0.0233793 -2.87395 -32.7142 -182.515 2.79
-1.63151 10.2192 -0.023052 -2.87367 -32.1233 -185.411 2.8
-1.6488 10.4517 -0.0227588 -2.87341 -31.5321 -188.308 2.81
-1.66608 10.6842 -0.0224959 -2.87318 -30.9407 -191.203 2.82
-1.68336 10.9167 -0.0222616 -2.87297 -30.3491 -194.099 2.83
-1.70064 11.1492 -0.0220518 -2.87279 -29.7573 -196.995 2.84
-1.71792 11.3817 -0.0218647 -2.87262 -29.1654 -199.89 2.85
-1.73519 11.6142 -0.0216987 -2.87247 -28.5733 -202.786 2.86
-1.75247 11.8467 -0.0215508 -2.87233 -27.981 -205.681 2.87
-1.76974 12.0792 -0.0214169 -2.87221 -27.3887 -208.576 2.88
-1.78701 12.3117 -0.0212999 -2.8721 -26.7963 -211.471 2.89
-1.80428 12.5442 -0.0211937 -2.872 -26.2038 -214.366 2.9
-1.82154 12.7767 -0.021098 -2.87191 -25.6112 -217.261 2.91
-1.83881 13.0092 -0.0210127 -2.87183 -25.0185 -220.156 2.92
-1.85608 13.2417 -0.0209375 -2.87176 -24.4258 -223.051 2.93
-1.87334 13.4742 -0.0208691 -2.87169 -23.833 -225.946 2.94
-1.8906 13.7067 -0.0208084 -2.87164 -23.2401 -228.841 2.95
-1.90787 13.9392 -0.0207546 -2.87159 -22.6472 -231.735 2.96
-1.92513 14.1717 -0.0207062 -2.87154 -22.0543 -234.63 2.97
-1.94239 14.4042 -0.0206623 -2.8715 -21.4613 -237.524 2.98
-1.95966 14.6367 -0.0206237 -2.87146 -20.8683 -240.419 2.99
-1.97692 14.8692 -0.0205892 -2.87143 -20.2753 -243.314 3
-1.99847 15.0649 -0.947737 -2.88256 -20.2448 -246.218 3.01
-2.02525 15.1957 -1.78969 -2.9009 -21.0487 -248.984 3.02
-2.05673 15.2646 -2.52748 -2.93555 -22.6308 -251.6 3.03
-2.09245 15.28 -3.16969 -2.98655 -24.8969 -254.097 3.04
-2.13197 15.2501 -3.72817 -3.05012 -27.7557 -256.507 3.05
-2.17491 15.1823 -4.21414 -3.1223 -31.1263 -258.861 3.06
-2.22091 15.0829 -4.63745 -3.19977 -34.9389 -261.182 3.07
-2.26966 14.9569 -5.0066 -3.27989 -39.1335 -263.487 3.08
-2.32088 14.8088 -5.32888 -3.36065 -43.6589 -265.791 3.09
-2.37431 14.6422 -5.61058 -3.44049 -48.4708 -268.104 3.1
-2.42526 14.4218 -5.84545 -2.55297 -53.5207 -269.848 3.11
-2.47257 14.1209 -6.04225 -1.75129 -58.931 -270.745 3.12
-2.51657 13.7448 -6.19548 -1.05465 -64.685 -270.858 3.13
-2.5576 13.3039 -6.30856 -0.453739 -70.7272 -270.286 3.14
-2.59596 12.8084 -6.3884 0.0639722 -77.0011 -269.127 3.15
-2.63193 12.2671 -6.44168 0.510261 -83.4584 -267.465 3.16
-2.66574 11.6876 -6.47409 0.895377 -90.0592 -265.373 3.17
-2.69762 11.076 -6.4903 1.2281 -96.771 -262.911 3.18
-2.72776 10.4377 -6.49409 1.51591 -103.568 -260.134 3.19
-2.75634 9.77714 -6.48851 1.76517 -110.428 -257.085 3.2
-2.78353 9.09786 -6.47602 1.9813 -117.335 -253.803 3.21
-2.80946 8.40298 -6.45855 2.16895 -124.275 -250.32 3.22
-2.83426 7.69507 -6.43766 2.33205 -131.237 -246.663 3.23
-2.85805 6.97626 -6.41456 2.474 -138.214 -242.858 3.24
-2.88093 6.24834 -6.39019 2.59768 -145.199 -238.924 3.25
-2.90299 5.51282 -6.36529 2.70557 -152.187 -234.879 3.26
-2.92432 4.77094 -6.34043 2.7998 -159.173 -230.737 3.27
-2.945 4.02375 -6.31601 2.88218 -166.155 -226.512 3.28
-2.96509 3.27211 -6.29234 2.95429 -173.132 -222.214 3.29
-2.98465 2.51677 -6.26964 3.01747 -180.101 -217.852 3.3
-3.00374 1.75832 -6.24804 3.07289 -187.062 -213.437 3.31
-3.0224 0.997284 -6.22765 3.12155 -194.014 -208.973 3.32
-3.04068 0.234082 -6.20851 3.16432 -200.956 -204.467 3.33
-3.05862 -0.530931 -6.19062 3.20194 -207.89 -199.926 3.34
-3.07625 -1.29745 -6.17398 3.23508 -214.814 -195.352 3.35
-3.0936 -2.06524 -6.15858 3.26428 -221.73 -190.751 3.36
-3.11071 -2.83409 -6.14433 3.29004 -228.637 -186.125 3.37
-3.1276 -3.60382 -6.13122 3.31278 -235.535 -181.478 3.38
-3.14429 -4.37428 -6.11917 3.33287 -242.427 -176.812 3.39
-3.1608 -5.14536 -6.10813 3.35063 -249.31 -172.13 3.4
-3.17387 -5.88882 -5.3893 3.37489 -255.758 -167.425 3.41
-3.18281 -6.5831 -4.73647 3.40284 -261.561 -162.814 3.42
-3.18802 -7.23045 -4.16409 3.44169 -266.763 -158.306 3.43
-3.18988 -7.83715 -3.66551 3.49163 -271.437 -153.88 3.44
-3.18872 -8.40953 -3.23165 3.54994 -275.653 -149.51 3.45
-3.18487 -8.95315 -2.85384 3.61374 -279.473 -145.176 3.46
-3.17859 -9.47272 -2.52452 3.68062 -282.951 -140.861 3.47
-3.17013 -9.97219 -2.23714 3.74867 -286.134 -136.551 3.48
-3.15972 -10.4548 -1.98607 3.81645 -289.06 -132.237 3.49
-3.14756 -10.9235 -1.76648 3.88287 -291.763 -127.911 3.5
-3.13382 -11.3804 -1.57421 3.94714 -294.274 -123.569 3.51
-3.11867 -11.8274 -1.40568 4.0087 -296.617 -119.205 3.52
-3.10225 -12.2663 -1.25781 4.06718 -298.814 -114.819 3.53
-3.08469 -12.6984 -1.12792 4.12236 -300.884 -110.408 3.54
-3.06611 -13.1247 -1.01373 4.17413 -302.843 -105.973 3.55
-3.04662 -13.5462 -0.913237 4.22245 -304.705 -101.512 3.56
-3.02631 -13.9638 -0.824721 4.26738 -306.482 -97.0258 3.57
-3.00526 -14.378 -0.746675 4.30899 -308.185 -92.516 3.58
-2.98355 -14.7894 -0.677816 4.3474 -309.823 -87.9831 3.59
-2.96125 -15.1984 -0.616999 4.38278 -311.405 -83.4282 3.6
-2.93841 -15.6056 -0.563253 4.41526 -312.936 -78.8525 3.61
-2.9151 -16.0111 -0.515717 4.44503 -314.423 -74.2572 3.62
